param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count,,止损是diffence_filter_num的1/3
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,线性回归使用30个5分钟数据
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 60, 'mean_window': 30.0}",0,0,0,0,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 90, 'mean_window': 45.0}",0,0,0,0,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 60, 'mean_window': 30.0}",0,0,0,0,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 30, 'mean_window': 15.0}",0,0,0,0,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 90, 'mean_window': 45.0}",0,0,0,0,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 60, 'mean_window': 30.0}",0,0,0,0,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 30, 'mean_window': 15.0}",0,0,0,0,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 90, 'mean_window': 45.0}",0,0,0,0,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 90, 'mean_window': 45.0}",0,0,0,0,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 60, 'mean_window': 30.0}",0,0,0,0,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 30, 'mean_window': 15.0}",0,0,0,0,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 90, 'mean_window': 45.0}",0,0,0,0,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 60, 'mean_window': 30.0}",0,0,0,0,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 30, 'mean_window': 15.0}",0,0,0,0,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 30, 'mean_window': 15.0}",0,0,0,0,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 90, 'mean_window': 45.0}",-1.059027291,-12.93076215,132,0.112676056,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 90, 'mean_window': 45.0}",-1.059027291,-12.93076215,132,0.112676056,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 90, 'mean_window': 45.0}",-1.059027291,-12.93076215,132,0.112676056,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 90, 'mean_window': 45.0}",-1.059027291,-12.93076215,132,0.112676056,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 90, 'mean_window': 45.0}",-1.059027291,-12.93076215,132,0.112676056,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 180, 'mean_window': 90.0}",-1.152164179,-17.45037325,73,0.309859155,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 180, 'mean_window': 90.0}",-1.152164179,-17.45037325,73,0.309859155,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 180, 'mean_window': 90.0}",-1.152164179,-17.45037325,73,0.309859155,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 180, 'mean_window': 90.0}",-1.152164179,-17.45037325,73,0.309859155,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 180, 'mean_window': 90.0}",-1.152164179,-17.45037325,73,0.309859155,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 150, 'mean_window': 75.0}",-1.199130473,-20.2731,136,0.309859155,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 150, 'mean_window': 75.0}",-1.199130473,-20.2731,136,0.309859155,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 150, 'mean_window': 75.0}",-1.199130473,-20.2731,136,0.309859155,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 150, 'mean_window': 75.0}",-1.199130473,-20.2731,136,0.309859155,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 150, 'mean_window': 75.0}",-1.199130473,-20.2731,136,0.309859155,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 180, 'mean_window': 90.0}",-1.388576133,-20.93372348,161,0.169014085,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 180, 'mean_window': 90.0}",-1.388576133,-20.93372348,161,0.169014085,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 180, 'mean_window': 90.0}",-1.388576133,-20.93372348,161,0.169014085,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 180, 'mean_window': 90.0}",-1.388576133,-20.93372348,161,0.169014085,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 180, 'mean_window': 90.0}",-1.388576133,-20.93372348,161,0.169014085,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 150, 'mean_window': 75.0}",-1.620186955,-15.49505,211,0.169014085,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 150, 'mean_window': 75.0}",-1.620186955,-15.49505,211,0.169014085,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 150, 'mean_window': 75.0}",-1.620186955,-15.49505,211,0.169014085,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 150, 'mean_window': 75.0}",-1.620186955,-15.49505,211,0.169014085,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 150, 'mean_window': 75.0}",-1.620186955,-15.49505,211,0.169014085,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 60, 'mean_window': 30.0}",-1.929281385,-29.9987,210,0.647887324,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 60, 'mean_window': 30.0}",-1.929281385,-29.9987,210,0.647887324,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 60, 'mean_window': 30.0}",-1.929281385,-29.9987,210,0.647887324,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 60, 'mean_window': 30.0}",-1.929281385,-29.9987,210,0.647887324,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 60, 'mean_window': 30.0}",-1.929281385,-29.9987,210,0.647887324,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 60, 'mean_window': 30.0}",-1.986216217,-22.0594,210,0.197183099,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 60, 'mean_window': 30.0}",-1.986216217,-22.0594,210,0.197183099,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 60, 'mean_window': 30.0}",-1.986216217,-22.0594,210,0.197183099,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 60, 'mean_window': 30.0}",-1.986216217,-22.0594,210,0.197183099,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 60, 'mean_window': 30.0}",-1.986216217,-22.0594,210,0.197183099,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 150, 'mean_window': 75.0}",-2.01633448,-31.18575,210,0.422535211,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 150, 'mean_window': 75.0}",-2.01633448,-31.18575,210,0.422535211,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 150, 'mean_window': 75.0}",-2.01633448,-31.18575,210,0.422535211,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 150, 'mean_window': 75.0}",-2.01633448,-31.18575,210,0.422535211,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 150, 'mean_window': 75.0}",-2.01633448,-31.18575,210,0.422535211,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 30, 'mean_window': 15.0}",-2.177193344,-18.02375,108,0.056338028,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 30, 'mean_window': 15.0}",-2.177193344,-18.02375,108,0.056338028,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 30, 'mean_window': 15.0}",-2.177193344,-18.02375,108,0.056338028,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 30, 'mean_window': 15.0}",-2.177193344,-18.02375,108,0.056338028,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 30, 'mean_window': 15.0}",-2.177193344,-18.02375,108,0.056338028,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 60, 'mean_window': 30.0}",-2.18477814,-25.8677,210,0.253521127,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 60, 'mean_window': 30.0}",-2.18477814,-25.8677,210,0.253521127,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 60, 'mean_window': 30.0}",-2.18477814,-25.8677,210,0.253521127,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 60, 'mean_window': 30.0}",-2.18477814,-25.8677,210,0.253521127,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 60, 'mean_window': 30.0}",-2.18477814,-25.8677,210,0.253521127,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 30, 'mean_window': 15.0}",-2.589950943,-22.61025,137,0.112676056,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 30, 'mean_window': 15.0}",-2.589950943,-22.61025,137,0.112676056,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 30, 'mean_window': 15.0}",-2.589950943,-22.61025,137,0.112676056,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 30, 'mean_window': 15.0}",-2.589950943,-22.61025,137,0.112676056,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 30, 'mean_window': 15.0}",-2.589950943,-22.61025,137,0.112676056,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 120, 'mean_window': 60.0}",-2.61391462,-18.79435,211,0.112676056,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 120, 'mean_window': 60.0}",-2.61391462,-18.79435,211,0.112676056,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 120, 'mean_window': 60.0}",-2.61391462,-18.79435,211,0.112676056,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 120, 'mean_window': 60.0}",-2.61391462,-18.79435,211,0.112676056,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 60, 'difference_exit_num': 20.0, 'std_window': 120, 'mean_window': 60.0}",-2.61391462,-18.79435,211,0.112676056,,
